City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,cernavoda,44.3667,28.0167,2.58,89,100,5.97,RO,1701931539
303,callao,-12.0667,-77.15,20.95,82,75,3.09,PE,1701931540
304,kailua-kona,19.6406,-155.9956,25.98,78,100,2.06,US,1701931541
305,alaghsas,17.0187,8.0168,15.94,25,6,3.09,NE,1701931543
306,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,72,40,4.0,RU,1701931473
307,sorong,-0.8833,131.25,28.49,78,61,2.11,ID,1701931545
308,siwa oasis,29.2041,25.5195,16.29,49,100,2.19,EG,1701931546
309,tondano,1.3038,124.9112,29.05,69,65,0.5,ID,1701931548
310,shar'ya,58.3686,45.5144,-18.9,99,21,0.45,RU,1701931549
311,acapulco de juarez,16.8634,-99.8901,27.9,89,100,1.54,MX,1701931551
312,korem,12.5058,39.5228,14.99,45,7,2.63,ET,1701931552
313,prince rupert,54.3161,-130.3201,5.83,84,100,5.66,CA,1701931553
314,happy valley-goose bay,53.3168,-60.3315,-6.83,68,100,5.14,CA,1701931555
315,kharagpur,22.3333,87.3333,19.84,87,100,3.11,IN,1701931256
316,ishigaki,24.3448,124.1572,23.07,56,20,7.2,JP,1701931557
317,pergamino,-33.89,-60.5736,16.21,97,1,2.98,AR,1701931559
318,la ronge,55.1001,-105.2842,-0.86,80,75,2.06,CA,1701931560
319,qoryooley,1.7878,44.53,29.6,49,86,6.2,SO,1701931561
320,kismayo,-0.3582,42.5454,29.61,67,100,5.9,SO,1701931563
321,sihanoukville,10.6093,103.5296,29.97,74,40,4.63,KH,1701931564
322,nadi,-17.8,177.4167,29.0,74,75,4.63,FJ,1701931565
323,kavieng,-2.5744,150.7967,28.07,79,95,4.7,PG,1701931567
324,lihue,21.9789,-159.3672,23.77,85,100,5.66,US,1701931568
325,taltal,-25.4,-70.4833,16.97,78,0,0.58,CL,1701931569
326,isla mujeres,21.2311,-86.731,23.98,63,100,6.02,MX,1701931572
327,kot malik barkhurdar,30.1944,66.993,14.14,16,5,1.19,PK,1701931575
328,balkashino,52.5167,68.7667,-23.29,89,7,3.29,KZ,1701931576
329,pushkinskiye gory,57.0209,28.9103,-15.44,98,95,1.56,RU,1701931577
330,sitka,57.0531,-135.33,5.94,70,100,5.66,US,1701931544
